
   INFO  Server running on [http://127.0.0.1:8017].  

  Press Ctrl+C to stop the server

  2026-09-06 15:36:45 / ........................................................................................ ~ 2s
  2026-09-06 15:36:47 /forgot-password ................................................................... ~ 516.76ms
  2026-09-06 15:36:47 /policies ................................................................................ ~ 1s
  2026-09-06 15:36:48 /newsletter/unsubscribe/invalid-token .............................................. ~ 519.42ms
  2026-09-06 15:36:49 /admin/login ............................................................................. ~ 1s
  2026-09-06 15:36:51 /login ............................................................................. ~ 518.64ms
  2026-09-06 15:36:51 /checkout .......................................................................... ~ 504.40ms
  2026-09-06 15:36:52 /cart .............................................................................. ~ 512.15ms
  2026-09-06 15:36:52 /register .......................................................................... ~ 510.60ms
  2026-09-06 15:36:53 /products/rosy-quartz-ombre .............................................................. ~ 1s
  2026-09-06 15:36:54 /contact ........................................................................... ~ 512.76ms
  2026-09-06 15:36:54 /how-to-apply ...................................................................... ~ 517.24ms
  2026-09-06 15:36:55 /about ............................................................................. ~ 502.22ms
  2026-09-06 15:36:55 /checkout/success/1 ................................................................ ~ 512.05ms
  2026-09-06 15:36:56 /cart .............................................................................. ~ 511.87ms
